,county,PO_NAME,STATE,brewery_count,popDrinking,median_income,purchase_power,land_area_sqmi,brewery_capacity,brewery_density,tot_market_cap,carrying_cap_ratio,share_market_cap,split_market_cap,brewery_per_capita
47,1093,Winfield,AL,0.0,37869.0,34366.583333333336,547.9294015825815,1348.2030000000002,1,0.0,20749538.508530777,1.0,20749538,20749538,0.0
48,1095,Woodville,AL,1.0,109924.0,39237.0,522.8461190127601,1197.951,4,0.0008347586837858977,57473336.78635865,0.5,28736668,28736668,9.097194425239256e-06
49,1097,Wilmer,AL,5.0,299263.0,37299.71052631579,426.3827634604655,1241.6100000000008,17,0.004027029421476951,127600584.9414693,0.35294117647058826,45035500,21266764,1.6707711945679888e-05
50,1099,Whatley,AL,0.0,40801.0,23724.1875,325.4806780709125,2546.5609999999997,1,0.0,13279937.145971302,1.0,13279937,13279937,0.0
51,1101,Pine Level,AL,2.0,178637.0,48640.125,546.3679875391928,1200.495,11,0.0016659794501434825,97601538.19003879,0.2727272727272727,26618601,32533846,1.119588886960708e-05
52,1103,Vinemont,AL,1.0,125926.0,43743.125,608.6648383664971,1038.588,6,0.0009628457097520866,76646728.43613951,0.3333333333333333,25548909,38323364,7.941171799310706e-06
53,1105,Uniontown,AL,0.0,33138.0,29686.4,428.03092163398514,1598.176,1,0.0,14184088.681107,1.0,14184088,14184088,0.0
54,1107,Reform,AL,0.0,25717.0,36471.625,562.8878804983991,1474.78,0,0.0,14475787.62277733,0.5,7237893,14475787,0.0
55,1109,Troy,AL,0.0,29444.0,34439.875,491.6609040597073,1011.708,1,0.0,14476463.659134023,1.0,14476463,14476463,0.0
56,1111,Woodland,AL,0.0,27945.0,36612.875,539.819288328902,1124.964,0,0.0,15085250.012351165,0.5,7542625,15085250,0.0
57,1113,Smiths Station,AL,1.0,96564.0,43234.769230769234,513.3664841782685,1564.554,5,0.0006391597861115691,49572721.17819032,0.4,19829088,24786360,1.0355826187813264e-05
